date,STATE,Abnormal_Weather,State_Partisan_Learning,google_search_climate,google_search_hoax
9/1/2012,ALABAMA,7,Conservative,7,0
10/1/2012,ALABAMA,2,Conservative,8,0
11/1/2012,ALABAMA,5,Conservative,8,0
12/1/2012,ALABAMA,3,Conservative,7,0
1/1/2013,ALABAMA,7,Conservative,6,13
2/1/2013,ALABAMA,5,Conservative,7,15
3/1/2013,ALABAMA,0,Conservative,6,0
4/1/2013,ALABAMA,0,Conservative,7,0
5/1/2013,ALABAMA,2,Conservative,5,0
6/1/2013,ALABAMA,2,Conservative,6,0
7/1/2013,ALABAMA,14,Conservative,4,0
8/1/2013,ALABAMA,1,Conservative,3,0
9/1/2013,ALABAMA,0,Conservative,6,0
10/1/2013,ALABAMA,0,Conservative,6,13
11/1/2013,ALABAMA,0,Conservative,6,0
12/1/2013,ALABAMA,0,Conservative,5,0
1/1/2014,ALABAMA,0,Conservative,4,0
2/1/2014,ALABAMA,0,Conservative,13,13
3/1/2014,ALABAMA,1,Conservative,9,0
4/1/2014,ALABAMA,11,Conservative,12,0
5/1/2014,ALABAMA,1,Conservative,11,13
6/1/2014,ALABAMA,0,Conservative,7,15
7/1/2014,ALABAMA,0,Conservative,5,0
8/1/2014,ALABAMA,0,Conservative,6,0
9/1/2014,ALABAMA,1,Conservative,12,0
10/1/2014,ALABAMA,1,Conservative,11,0
11/1/2014,ALABAMA,0,Conservative,7,15
12/1/2014,ALABAMA,2,Conservative,4,0
1/1/2015,ALABAMA,1,Conservative,9,0
2/1/2015,ALABAMA,0,Conservative,6,15
3/1/2015,ALABAMA,1,Conservative,12,22
4/1/2015,ALABAMA,1,Conservative,15,0
5/1/2015,ALABAMA,0,Conservative,12,16
6/1/2015,ALABAMA,0,Conservative,11,0
7/1/2015,ALABAMA,0,Conservative,6,0
8/1/2015,ALABAMA,2,Conservative,7,14
9/1/2015,ALABAMA,0,Conservative,14,26
10/1/2015,ALABAMA,0,Conservative,14,26
11/1/2015,ALABAMA,1,Conservative,18,13
12/1/2015,ALABAMA,9,Conservative,13,13
1/1/2016,ALABAMA,0,Conservative,8,9
2/1/2016,ALABAMA,2,Conservative,10,9
3/1/2016,ALABAMA,3,Conservative,11,8
4/1/2016,ALABAMA,2,Conservative,13,0
5/1/2016,ALABAMA,2,Conservative,8,0
6/1/2016,ALABAMA,1,Conservative,4,0
7/1/2016,ALABAMA,2,Conservative,4,9
8/1/2016,ALABAMA,1,Conservative,6,0
9/1/2016,ALABAMA,2,Conservative,9,8
10/1/2016,ALABAMA,10,Conservative,12,8
11/1/2016,ALABAMA,6,Conservative,19,12
12/1/2016,ALABAMA,9,Conservative,13,8
1/1/2017,ALABAMA,9,Conservative,19,8
2/1/2017,ALABAMA,3,Conservative,16,0
3/1/2017,ALABAMA,2,Conservative,16,7
4/1/2017,ALABAMA,2,Conservative,13,8
5/1/2017,ALABAMA,2,Conservative,10,8
6/1/2017,ALABAMA,6,Conservative,21,20
7/1/2017,ALABAMA,2,Conservative,9,0
8/1/2017,ALABAMA,7,Conservative,9,8
9/1/2017,ALABAMA,0,Conservative,17,7
10/1/2017,ALABAMA,6,Conservative,11,0
11/1/2017,ALABAMA,0,Conservative,12,0
12/1/2017,ALABAMA,2,Conservative,7,7
1/1/2004,ALASKA,0,Conservative,0,0
2/1/2004,ALASKA,0,Conservative,0,0
3/1/2004,ALASKA,0,Conservative,47,0
4/1/2004,ALASKA,0,Conservative,0,0
5/1/2004,ALASKA,0,Conservative,0,0
6/1/2004,ALASKA,0,Conservative,0,0
7/1/2004,ALASKA,0,Conservative,0,0
8/1/2004,ALASKA,0,Conservative,0,0
9/1/2004,ALASKA,0,Conservative,31,0
10/1/2004,ALASKA,0,Conservative,31,0
11/1/2004,ALASKA,0,Conservative,0,0
12/1/2004,ALASKA,0,Conservative,58,0
1/1/2005,ALASKA,1,Conservative,26,0
2/1/2005,ALASKA,0,Conservative,27,0
3/1/2005,ALASKA,3,Conservative,23,0
4/1/2005,ALASKA,0,Conservative,51,0
5/1/2005,ALASKA,1,Conservative,24,0
6/1/2005,ALASKA,0,Conservative,38,0
7/1/2005,ALASKA,0,Conservative,0,0
8/1/2005,ALASKA,0,Conservative,23,0
9/1/2005,ALASKA,1,Conservative,32,0
10/1/2005,ALASKA,0,Conservative,39,0
11/1/2005,ALASKA,2,Conservative,100,0
12/1/2005,ALASKA,0,Conservative,28,0
1/1/2006,ALASKA,1,Conservative,16,0
2/1/2006,ALASKA,0,Conservative,0,0
3/1/2006,ALASKA,2,Conservative,15,0
4/1/2006,ALASKA,2,Conservative,39,0
5/1/2006,ALASKA,1,Conservative,16,0
6/1/2006,ALASKA,0,Conservative,33,0
7/1/2006,ALASKA,0,Conservative,0,0
8/1/2006,ALASKA,1,Conservative,14,0
9/1/2006,ALASKA,0,Conservative,21,0
10/1/2006,ALASKA,1,Conservative,13,0
11/1/2006,ALASKA,1,Conservative,13,0
12/1/2006,ALASKA,3,Conservative,0,0
1/1/2007,ALASKA,4,Conservative,18,0
2/1/2007,ALASKA,1,Conservative,67,0
3/1/2007,ALASKA,1,Conservative,22,0
4/1/2007,ALASKA,0,Conservative,44,0
5/1/2007,ALASKA,0,Conservative,21,0
6/1/2007,ALASKA,0,Conservative,23,0
7/1/2007,ALASKA,0,Conservative,22,0
8/1/2007,ALASKA,0,Conservative,16,0
9/1/2007,ALASKA,0,Conservative,15,0
10/1/2007,ALASKA,0,Conservative,14,0
11/1/2007,ALASKA,1,Conservative,37,0
12/1/2007,ALASKA,1,Conservative,28,0
1/1/2008,ALASKA,4,Conservative,34,0
2/1/2008,ALASKA,3,Conservative,35,0
3/1/2008,ALASKA,3,Conservative,43,0
4/1/2008,ALASKA,0,Conservative,23,0
5/1/2008,ALASKA,0,Conservative,28,0
6/1/2008,ALASKA,0,Conservative,27,0
7/1/2008,ALASKA,1,Conservative,21,0
8/1/2008,ALASKA,1,Conservative,33,0
9/1/2008,ALASKA,0,Conservative,38,0
10/1/2008,ALASKA,0,Conservative,33,0
11/1/2008,ALASKA,0,Conservative,32,0
12/1/2008,ALASKA,2,Conservative,39,0
1/1/2009,ALASKA,2,Conservative,14,0
2/1/2009,ALASKA,7,Conservative,30,0
3/1/2009,ALASKA,1,Conservative,37,0
4/1/2009,ALASKA,2,Conservative,38,0
5/1/2009,ALASKA,2,Conservative,30,0
6/1/2009,ALASKA,0,Conservative,27,0
7/1/2009,ALASKA,0,Conservative,15,0
8/1/2009,ALASKA,0,Conservative,22,0
9/1/2009,ALASKA,0,Conservative,25,0
10/1/2009,ALASKA,0,Conservative,63,0
11/1/2009,ALASKA,1,Conservative,62,0
12/1/2009,ALASKA,1,Conservative,51,0
1/1/2010,ALASKA,1,Conservative,47,0
2/1/2010,ALASKA,2,Conservative,43,0
3/1/2010,ALASKA,4,Conservative,33,0
4/1/2010,ALASKA,1,Conservative,43,0
5/1/2010,ALASKA,0,Conservative,27,0
6/1/2010,ALASKA,0,Conservative,10,0
7/1/2010,ALASKA,0,Conservative,15,0
8/1/2010,ALASKA,0,Conservative,18,0
9/1/2010,ALASKA,0,Conservative,24,0
10/1/2010,ALASKA,0,Conservative,23,0
11/1/2010,ALASKA,1,Conservative,8,0
12/1/2010,ALASKA,2,Conservative,17,0
1/1/2011,ALASKA,2,Conservative,6,0
2/1/2011,ALASKA,5,Conservative,32,0
3/1/2011,ALASKA,0,Conservative,29,0
4/1/2011,ALASKA,3,Conservative,36,0
5/1/2011,ALASKA,0,Conservative,19,0
6/1/2011,ALASKA,0,Conservative,17,0
7/1/2011,ALASKA,1,Conservative,19,0
8/1/2011,ALASKA,0,Conservative,19,0
9/1/2011,ALASKA,0,Conservative,23,0
10/1/2011,ALASKA,0,Conservative,15,0
11/1/2011,ALASKA,2,Conservative,9,0
12/1/2011,ALASKA,4,Conservative,17,0
1/1/2012,ALASKA,4,Conservative,13,0
2/1/2012,ALASKA,7,Conservative,12,0
3/1/2012,ALASKA,1,Conservative,9,0
4/1/2012,ALASKA,2,Conservative,27,0
5/1/2012,ALASKA,0,Conservative,13,0
6/1/2012,ALASKA,1,Conservative,11,0
7/1/2012,ALASKA,0,Conservative,28,0
8/1/2012,ALASKA,0,Conservative,11,0
9/1/2012,ALASKA,2,Conservative,8,0
10/1/2012,ALASKA,0,Conservative,21,0
11/1/2012,ALASKA,1,Conservative,22,0
12/1/2012,ALASKA,1,Conservative,20,0
1/1/2013,ALASKA,1,Conservative,10,0
2/1/2013,ALASKA,0,Conservative,25,0
3/1/2013,ALASKA,0,Conservative,17,0
4/1/2013,ALASKA,0,Conservative,12,0
5/1/2013,ALASKA,1,Conservative,12,0
6/1/2013,ALASKA,0,Conservative,10,0
7/1/2013,ALASKA,0,Conservative,12,0
8/1/2013,ALASKA,0,Conservative,17,0
9/1/2013,ALASKA,0,Conservative,14,0
10/1/2013,ALASKA,0,Conservative,20,0
11/1/2013,ALASKA,0,Conservative,31,0
12/1/2013,ALASKA,0,Conservative,29,0
1/1/2014,ALASKA,2,Conservative,20,0
2/1/2014,ALASKA,1,Conservative,18,0
3/1/2014,ALASKA,0,Conservative,21,0
4/1/2014,ALASKA,2,Conservative,33,0
5/1/2014,ALASKA,0,Conservative,22,0
6/1/2014,ALASKA,1,Conservative,17,0
7/1/2014,ALASKA,2,Conservative,18,0
8/1/2014,ALASKA,1,Conservative,14,0
9/1/2014,ALASKA,0,Conservative,17,0
10/1/2014,ALASKA,0,Conservative,26,0
11/1/2014,ALASKA,0,Conservative,31,0
12/1/2014,ALASKA,0,Conservative,17,0
1/1/2015,ALASKA,0,Conservative,27,0
2/1/2015,ALASKA,0,Conservative,16,0
3/1/2015,ALASKA,2,Conservative,32,0
4/1/2015,ALASKA,0,Conservative,50,0
5/1/2015,ALASKA,0,Conservative,34,0
6/1/2015,ALASKA,0,Conservative,22,0
7/1/2015,ALASKA,0,Conservative,25,0
8/1/2015,ALASKA,1,Conservative,43,0
9/1/2015,ALASKA,0,Conservative,51,0
10/1/2015,ALASKA,0,Conservative,32,0
11/1/2015,ALASKA,1,Conservative,28,0
12/1/2015,ALASKA,1,Conservative,42,0
1/1/2016,ALASKA,1,Conservative,39,0
2/1/2016,ALASKA,1,Conservative,30,0
3/1/2016,ALASKA,0,Conservative,38,0
4/1/2016,ALASKA,0,Conservative,31,0
5/1/2016,ALASKA,0,Conservative,24,0
6/1/2016,ALASKA,0,Conservative,22,0
7/1/2016,ALASKA,1,Conservative,21,0
8/1/2016,ALASKA,0,Conservative,23,0
9/1/2016,ALASKA,1,Conservative,27,0
10/1/2016,ALASKA,0,Conservative,38,0
11/1/2016,ALASKA,0,Conservative,60,0
12/1/2016,ALASKA,0,Conservative,38,0
1/1/2017,ALASKA,1,Conservative,36,0
2/1/2017,ALASKA,4,Conservative,47,0
3/1/2017,ALASKA,0,Conservative,42,0
4/1/2017,ALASKA,1,Conservative,54,0
5/1/2017,ALASKA,0,Conservative,33,0
6/1/2017,ALASKA,0,Conservative,40,0
7/1/2017,ALASKA,0,Conservative,25,0
8/1/2017,ALASKA,0,Conservative,17,0
9/1/2017,ALASKA,1,Conservative,36,0
10/1/2017,ALASKA,0,Conservative,31,0
11/1/2017,ALASKA,0,Conservative,38,0
12/1/2017,ALASKA,0,Conservative,39,0
1/1/2004,ARIZO0,0,Competitive,8,0
2/1/2004,ARIZO0,0,Competitive,0,0
3/1/2004,ARIZO0,0,Competitive,0,0
4/1/2004,ARIZO0,0,Competitive,11,0
5/1/2004,ARIZO0,0,Competitive,17,0
6/1/2004,ARIZO0,0,Competitive,7,0
7/1/2004,ARIZO0,1,Competitive,20,0
8/1/2004,ARIZO0,0,Competitive,6,0
9/1/2004,ARIZO0,0,Competitive,6,0
10/1/2004,ARIZO0,0,Competitive,9,0
11/1/2004,ARIZO0,0,Competitive,18,0
12/1/2004,ARIZO0,0,Competitive,16,0
1/1/2005,ARIZO0,0,Competitive,14,0
2/1/2005,ARIZO0,1,Competitive,10,0
3/1/2005,ARIZO0,0,Competitive,4,0
4/1/2005,ARIZO0,0,Competitive,7,0
5/1/2005,ARIZO0,1,Competitive,6,0
6/1/2005,ARIZO0,0,Competitive,19,0
7/1/2005,ARIZO0,3,Competitive,4,0
8/1/2005,ARIZO0,7,Competitive,10,0
9/1/2005,ARIZO0,1,Competitive,11,0
10/1/2005,ARIZO0,0,Competitive,10,0
11/1/2005,ARIZO0,0,Competitive,12,0
12/1/2005,ARIZO0,0,Competitive,3,0
1/1/2006,ARIZO0,0,Competitive,7,0
2/1/2006,ARIZO0,0,Competitive,6,0
3/1/2006,ARIZO0,0,Competitive,8,0
4/1/2006,ARIZO0,0,Competitive,7,0
5/1/2006,ARIZO0,0,Competitive,11,0
6/1/2006,ARIZO0,1,Competitive,11,0
7/1/2006,ARIZO0,7,Competitive,10,0
8/1/2006,ARIZO0,5,Competitive,7,0
9/1/2006,ARIZO0,0,Competitive,7,0
10/1/2006,ARIZO0,1,Competitive,12,0
11/1/2006,ARIZO0,0,Competitive,9,0
12/1/2006,ARIZO0,0,Competitive,13,0
1/1/2007,ARIZO0,0,Competitive,14,0
2/1/2007,ARIZO0,0,Competitive,12,0
3/1/2007,ARIZO0,0,Competitive,11,0
4/1/2007,ARIZO0,0,Competitive,16,0
5/1/2007,ARIZO0,1,Competitive,12,0
6/1/2007,ARIZO0,0,Competitive,10,0
7/1/2007,ARIZO0,4,Competitive,8,0
8/1/2007,ARIZO0,3,Competitive,7,0
9/1/2007,ARIZO0,1,Competitive,11,0
10/1/2007,ARIZO0,0,Competitive,12,86
11/1/2007,ARIZO0,0,Competitive,18,0
12/1/2007,ARIZO0,1,Competitive,11,91
1/1/2008,ARIZO0,3,Competitive,13,0
2/1/2008,ARIZO0,0,Competitive,9,0
3/1/2008,ARIZO0,0,Competitive,16,0
4/1/2008,ARIZO0,0,Competitive,18,77
5/1/2008,ARIZO0,0,Competitive,21,0
6/1/2008,ARIZO0,0,Competitive,8,0
7/1/2008,ARIZO0,2,Competitive,10,0
8/1/2008,ARIZO0,0,Competitive,7,0
9/1/2008,ARIZO0,1,Competitive,15,0
10/1/2008,ARIZO0,0,Competitive,17,70
11/1/2008,ARIZO0,0,Competitive,18,0
12/1/2008,ARIZO0,0,Competitive,15,0
1/1/2009,ARIZO0,0,Competitive,17,72
2/1/2009,ARIZO0,0,Competitive,13,0
3/1/2009,ARIZO0,0,Competitive,15,0
4/1/2009,ARIZO0,0,Competitive,25,0
5/1/2009,ARIZO0,0,Competitive,15,0
6/1/2009,ARIZO0,1,Competitive,17,72
7/1/2009,ARIZO0,4,Competitive,15,0
8/1/2009,ARIZO0,1,Competitive,11,0
9/1/2009,ARIZO0,3,Competitive,18,0
10/1/2009,ARIZO0,0,Competitive,28,0
11/1/2009,ARIZO0,1,Competitive,33,68
12/1/2009,ARIZO0,2,Competitive,34,67
1/1/2010,ARIZO0,3,Competitive,17,0
2/1/2010,ARIZO0,1,Competitive,21,0
3/1/2010,ARIZO0,0,Competitive,16,0
4/1/2010,ARIZO0,0,Competitive,27,61
5/1/2010,ARIZO0,0,Competitive,17,0
6/1/2010,ARIZO0,0,Competitive,11,68
7/1/2010,ARIZO0,9,Competitive,14,0
8/1/2010,ARIZO0,5,Competitive,8,0
9/1/2010,ARIZO0,1,Competitive,10,0
10/1/2010,ARIZO0,2,Competitive,12,59
11/1/2010,ARIZO0,0,Competitive,16,58
12/1/2010,ARIZO0,0,Competitive,8,59
1/1/2011,ARIZO0,0,Competitive,8,0
2/1/2011,ARIZO0,0,Competitive,14,0
3/1/2011,ARIZO0,0,Competitive,10,33
4/1/2011,ARIZO0,2,Competitive,12,0
5/1/2011,ARIZO0,1,Competitive,8,0
6/1/2011,ARIZO0,3,Competitive,5,0
7/1/2011,ARIZO0,9,Competitive,6,0
8/1/2011,ARIZO0,6,Competitive,10,0
9/1/2011,ARIZO0,6,Competitive,13,0
10/1/2011,ARIZO0,2,Competitive,12,31
11/1/2011,ARIZO0,1,Competitive,12,0
12/1/2011,ARIZO0,1,Competitive,9,60
1/1/2012,ARIZO0,0,Competitive,7,0
2/1/2012,ARIZO0,0,Competitive,12,0
3/1/2012,ARIZO0,0,Competitive,12,0
4/1/2012,ARIZO0,0,Competitive,12,0
5/1/2012,ARIZO0,0,Competitive,11,0
6/1/2012,ARIZO0,1,Competitive,5,0
7/1/2012,ARIZO0,10,Competitive,9,29
8/1/2012,ARIZO0,8,Competitive,7,27
9/1/2012,ARIZO0,9,Competitive,14,25
10/1/2012,ARIZO0,0,Competitive,14,25
11/1/2012,ARIZO0,0,Competitive,14,26
12/1/2012,ARIZO0,0,Competitive,12,0
1/1/2013,ARIZO0,0,Competitive,9,22
2/1/2013,ARIZO0,0,Competitive,13,25
3/1/2013,ARIZO0,0,Competitive,10,0
4/1/2013,ARIZO0,0,Competitive,11,0
5/1/2013,ARIZO0,0,Competitive,11,0
6/1/2013,ARIZO0,4,Competitive,10,0
7/1/2013,ARIZO0,9,Competitive,7,0
8/1/2013,ARIZO0,5,Competitive,7,0
9/1/2013,ARIZO0,4,Competitive,11,0
10/1/2013,ARIZO0,0,Competitive,12,23
11/1/2013,ARIZO0,1,Competitive,16,24
12/1/2013,ARIZO0,0,Competitive,10,0
1/1/2014,ARIZO0,0,Competitive,13,40
2/1/2014,ARIZO0,1,Competitive,15,22
3/1/2014,ARIZO0,4,Competitive,14,0
4/1/2014,ARIZO0,0,Competitive,23,39
5/1/2014,ARIZO0,0,Competitive,18,0
6/1/2014,ARIZO0,0,Competitive,11,0
7/1/2014,ARIZO0,6,Competitive,8,24
8/1/2014,ARIZO0,9,Competitive,10,23
9/1/2014,ARIZO0,7,Competitive,15,23
10/1/2014,ARIZO0,1,Competitive,14,0
11/1/2014,ARIZO0,0,Competitive,18,0
12/1/2014,ARIZO0,0,Competitive,13,0
1/1/2015,ARIZO0,0,Competitive,12,22
2/1/2015,ARIZO0,1,Competitive,16,24
3/1/2015,ARIZO0,1,Competitive,20,22
4/1/2015,ARIZO0,0,Competitive,25,0
5/1/2015,ARIZO0,0,Competitive,20,0
6/1/2015,ARIZO0,0,Competitive,15,0
7/1/2015,ARIZO0,3,Competitive,8,0
8/1/2015,ARIZO0,4,Competitive,12,22
9/1/2015,ARIZO0,3,Competitive,22,32
10/1/2015,ARIZO0,5,Competitive,20,31
11/1/2015,ARIZO0,0,Competitive,28,22
12/1/2015,ARIZO0,0,Competitive,31,0
1/1/2016,ARIZO0,1,Competitive,14,18
2/1/2016,ARIZO0,0,Competitive,20,0
3/1/2016,ARIZO0,0,Competitive,21,89
4/1/2016,ARIZO0,0,Competitive,25,37
5/1/2016,ARIZO0,0,Competitive,20,0
6/1/2016,ARIZO0,3,Competitive,10,20
7/1/2016,ARIZO0,1,Competitive,9,40
8/1/2016,ARIZO0,11,Competitive,11,20
9/1/2016,ARIZO0,1,Competitive,18,19
10/1/2016,ARIZO0,1,Competitive,20,55
11/1/2016,ARIZO0,0,Competitive,39,63
12/1/2016,ARIZO0,0,Competitive,24,26
1/1/2017,ARIZO0,0,Competitive,24,32
2/1/2017,ARIZO0,0,Competitive,29,17
3/1/2017,ARIZO0,0,Competitive,26,0
4/1/2017,ARIZO0,0,Competitive,34,16
5/1/2017,ARIZO0,0,Competitive,25,100
6/1/2017,ARIZO0,0,Competitive,33,54
7/1/2017,ARIZO0,8,Competitive,13,44
8/1/2017,ARIZO0,6,Competitive,17,32
9/1/2017,ARIZO0,2,Competitive,28,32
10/1/2017,ARIZO0,0,Competitive,20,16
11/1/2017,ARIZO0,0,Competitive,24,32
12/1/2017,ARIZO0,0,Competitive,20,0
1/1/2004,ARKANSAS,0,Conservative,49,0
2/1/2004,ARKANSAS,0,Conservative,46,0
3/1/2004,ARKANSAS,0,Conservative,0,0
4/1/2004,ARKANSAS,1,Conservative,0,0
5/1/2004,ARKANSAS,0,Conservative,0,0
6/1/2004,ARKANSAS,0,Conservative,46,0
7/1/2004,ARKANSAS,0,Conservative,47,0
8/1/2004,ARKANSAS,0,Conservative,40,0
9/1/2004,ARKANSAS,0,Conservative,0,0
10/1/2004,ARKANSAS,0,Conservative,0,0
11/1/2004,ARKANSAS,1,Conservative,41,0
12/1/2004,ARKANSAS,0,Conservative,0,0
1/1/2005,ARKANSAS,1,Conservative,0,0
2/1/2005,ARKANSAS,0,Conservative,34,0
3/1/2005,ARKANSAS,0,Conservative,0,0
4/1/2005,ARKANSAS,1,Conservative,0,0
5/1/2005,ARKANSAS,0,Conservative,0,0
6/1/2005,ARKANSAS,0,Conservative,0,0
7/1/2005,ARKANSAS,1,Conservative,0,0
8/1/2005,ARKANSAS,2,Conservative,0,0
9/1/2005,ARKANSAS,5,Conservative,0,0
10/1/2005,ARKANSAS,0,Conservative,0,0
11/1/2005,ARKANSAS,1,Conservative,0,0
12/1/2005,ARKANSAS,1,Conservative,0,0
1/1/2006,ARKANSAS,1,Conservative,0,0
2/1/2006,ARKANSAS,1,Conservative,19,0
3/1/2006,ARKANSAS,2,Conservative,17,0
4/1/2006,ARKANSAS,0,Conservative,0,0
5/1/2006,ARKANSAS,2,Conservative,17,0
6/1/2006,ARKANSAS,0,Conservative,0,0
7/1/2006,ARKANSAS,3,Conservative,0,0
8/1/2006,ARKANSAS,3,Conservative,16,0
9/1/2006,ARKANSAS,2,Conservative,0,0
10/1/2006,ARKANSAS,0,Conservative,40,0
11/1/2006,ARKANSAS,1,Conservative,15,0
12/1/2006,ARKANSAS,0,Conservative,0,0
1/1/2007,ARKANSAS,5,Conservative,13,0
2/1/2007,ARKANSAS,0,Conservative,0,0
3/1/2007,ARKANSAS,1,Conservative,39,0
4/1/2007,ARKANSAS,0,Conservative,37,0
5/1/2007,ARKANSAS,0,Conservative,17,0
6/1/2007,ARKANSAS,0,Conservative,25,0
7/1/2007,ARKANSAS,10,Conservative,11,0
8/1/2007,ARKANSAS,9,Conservative,10,0
9/1/2007,ARKANSAS,5,Conservative,20,0
10/1/2007,ARKANSAS,2,Conservative,22,0
11/1/2007,ARKANSAS,0,Conservative,27,0
12/1/2007,ARKANSAS,0,Conservative,15,0
1/1/2008,ARKANSAS,0,Conservative,13,0
2/1/2008,ARKANSAS,0,Conservative,21,0
3/1/2008,ARKANSAS,13,Conservative,17,0
4/1/2008,ARKANSAS,13,Conservative,24,0
5/1/2008,ARKANSAS,2,Conservative,17,0
6/1/2008,ARKANSAS,3,Conservative,9,0
7/1/2008,ARKANSAS,4,Conservative,17,0
8/1/2008,ARKANSAS,1,Conservative,0,0
9/1/2008,ARKANSAS,13,Conservative,19,0
