"","X","Month","STATE","freq"
"100",100,2012-12-01,"ALABAMA",3
"101",101,2012-02-01,"ALABAMA",3
"102",102,2012-01-01,"ALABAMA",5
"103",103,2012-07-01,"ALABAMA",14
"104",104,2012-06-01,"ALABAMA",10
"105",105,2012-03-01,"ALABAMA",4
"106",106,2012-05-01,"ALABAMA",3
"107",107,2012-11-01,"ALABAMA",5
"108",108,2012-10-01,"ALABAMA",2
"109",109,2012-09-01,"ALABAMA",7
"110",110,2013-04-01,"ALABAMA",NA
"111",111,2013-08-01,"ALABAMA",1
"112",112,2013-12-01,"ALABAMA",NA
"113",113,2013-02-01,"ALABAMA",5
"114",114,2013-01-01,"ALABAMA",7
"115",115,2013-07-01,"ALABAMA",14
"116",116,2013-06-01,"ALABAMA",2
"117",117,2013-03-01,"ALABAMA",NA
"118",118,2013-05-01,"ALABAMA",2
"119",119,2013-11-01,"ALABAMA",NA
"120",120,2013-10-01,"ALABAMA",NA
"121",121,2013-09-01,"ALABAMA",NA
"122",122,2014-04-01,"ALABAMA",11
"123",123,2014-08-01,"ALABAMA",NA
"124",124,2014-12-01,"ALABAMA",2
"125",125,2014-02-01,"ALABAMA",NA
"126",126,2014-01-01,"ALABAMA",NA
"127",127,2014-07-01,"ALABAMA",NA
"128",128,2014-06-01,"ALABAMA",NA
"129",129,2014-03-01,"ALABAMA",1
"130",130,2014-05-01,"ALABAMA",1
"131",131,2014-11-01,"ALABAMA",NA
"132",132,2014-10-01,"ALABAMA",1
"133",133,2014-09-01,"ALABAMA",1
"134",134,2015-04-01,"ALABAMA",1
"135",135,2015-08-01,"ALABAMA",2
"136",136,2015-12-01,"ALABAMA",9
"137",137,2015-02-01,"ALABAMA",NA
"138",138,2015-01-01,"ALABAMA",1
"139",139,2015-07-01,"ALABAMA",NA
"140",140,2015-06-01,"ALABAMA",NA
"141",141,2015-03-01,"ALABAMA",1
"142",142,2015-05-01,"ALABAMA",NA
"143",143,2015-11-01,"ALABAMA",1
"144",144,2015-10-01,"ALABAMA",NA
"145",145,2015-09-01,"ALABAMA",NA
"146",146,2016-04-01,"ALABAMA",2
"147",147,2016-08-01,"ALABAMA",1
"148",148,2016-12-01,"ALABAMA",9
"149",149,2016-02-01,"ALABAMA",2
"150",150,2016-01-01,"ALABAMA",NA
"151",151,2016-07-01,"ALABAMA",2
"152",152,2016-06-01,"ALABAMA",1
"153",153,2016-03-01,"ALABAMA",3
"154",154,2016-05-01,"ALABAMA",2
"155",155,2016-11-01,"ALABAMA",6
"156",156,2016-10-01,"ALABAMA",10
"157",157,2016-09-01,"ALABAMA",2
"158",158,2017-04-01,"ALABAMA",2
"159",159,2017-08-01,"ALABAMA",7
"160",160,2017-12-01,"ALABAMA",2
"161",161,2017-02-01,"ALABAMA",3
"162",162,2017-01-01,"ALABAMA",9
"163",163,2017-07-01,"ALABAMA",2
"164",164,2017-06-01,"ALABAMA",6
"165",165,2017-03-01,"ALABAMA",2
"166",166,2017-05-01,"ALABAMA",2
"167",167,2017-11-01,"ALABAMA",NA
"168",168,2017-10-01,"ALABAMA",6
"169",169,2017-09-01,"ALABAMA",NA
"170",1,2004-04-01,"ARIZONA",NA
"171",2,2004-08-01,"ARIZONA",NA
"172",3,2004-12-01,"ARIZONA",NA
"173",4,2004-02-01,"ARIZONA",NA
"174",5,2004-01-01,"ARIZONA",NA
"175",6,2004-07-01,"ARIZONA",1
"176",7,2004-06-01,"ARIZONA",NA
"177",8,2004-03-01,"ARIZONA",NA
"178",9,2004-05-01,"ARIZONA",NA
"179",10,2004-11-01,"ARIZONA",NA
"180",11,2004-10-01,"ARIZONA",NA
"181",12,2004-09-01,"ARIZONA",NA
"182",13,2005-04-01,"ARIZONA",NA
"183",14,2005-08-01,"ARIZONA",7
"184",15,2005-12-01,"ARIZONA",NA
"185",16,2005-02-01,"ARIZONA",1
"186",17,2005-01-01,"ARIZONA",NA
"187",18,2005-07-01,"ARIZONA",3
"188",19,2005-06-01,"ARIZONA",NA
"189",20,2005-03-01,"ARIZONA",NA
"190",21,2005-05-01,"ARIZONA",1
"191",22,NA,"ARIZONA",NA
"192",23,2005-11-01,"ARIZONA",NA
"193",24,2005-10-01,"ARIZONA",NA
"194",25,2005-09-01,"ARIZONA",1
"195",26,2006-04-01,"ARIZONA",NA
"196",27,2006-08-01,"ARIZONA",5
"197",28,2006-12-01,"ARIZONA",NA
"198",29,2006-02-01,"ARIZONA",NA
"199",30,2006-01-01,"ARIZONA",NA
"200",31,2006-07-01,"ARIZONA",7
"201",32,2006-06-01,"ARIZONA",1
"202",33,2006-03-01,"ARIZONA",NA
"203",34,2006-05-01,"ARIZONA",NA
"204",35,2006-11-01,"ARIZONA",NA
"205",36,2006-10-01,"ARIZONA",1
"206",37,2006-09-01,"ARIZONA",NA
"207",38,2007-04-01,"ARIZONA",NA
"208",39,2007-08-01,"ARIZONA",3
"209",40,2007-12-01,"ARIZONA",1
"210",41,2007-02-01,"ARIZONA",NA
"211",42,2007-01-01,"ARIZONA",NA
"212",43,2007-07-01,"ARIZONA",4
"213",44,2007-06-01,"ARIZONA",NA
"214",45,2007-03-01,"ARIZONA",NA
"215",46,2007-05-01,"ARIZONA",1
"216",47,2007-11-01,"ARIZONA",NA
"217",48,2007-10-01,"ARIZONA",NA
"218",49,2007-09-01,"ARIZONA",1
"219",50,2008-04-01,"ARIZONA",NA
"220",51,2008-08-01,"ARIZONA",NA
"221",52,2008-12-01,"ARIZONA",NA
"222",53,2008-02-01,"ARIZONA",NA
"223",54,2008-01-01,"ARIZONA",3
"224",55,2008-07-01,"ARIZONA",2
"225",56,2008-06-01,"ARIZONA",NA
"226",57,2008-03-01,"ARIZONA",NA
"227",58,2008-05-01,"ARIZONA",NA
"228",59,2008-11-01,"ARIZONA",NA
"229",60,2008-10-01,"ARIZONA",NA
"230",61,2008-09-01,"ARIZONA",1
"231",62,2009-04-01,"ARIZONA",NA
"232",63,2009-08-01,"ARIZONA",1
"233",64,2009-12-01,"ARIZONA",2
"234",65,2009-02-01,"ARIZONA",NA
"235",66,2009-01-01,"ARIZONA",NA
"236",67,2009-07-01,"ARIZONA",4
"237",68,2009-06-01,"ARIZONA",1
"238",69,2009-03-01,"ARIZONA",NA
"239",70,2009-05-01,"ARIZONA",NA
"240",71,2009-11-01,"ARIZONA",1
"241",72,2009-10-01,"ARIZONA",NA
"242",73,2009-09-01,"ARIZONA",3
"243",74,2010-04-01,"ARIZONA",NA
"244",75,2010-08-01,"ARIZONA",5
"245",76,2010-12-01,"ARIZONA",NA
"246",77,2010-02-01,"ARIZONA",1
"247",78,2010-01-01,"ARIZONA",3
"248",79,2010-07-01,"ARIZONA",9
"249",80,2010-06-01,"ARIZONA",NA
"250",81,2010-03-01,"ARIZONA",NA
"251",82,2010-05-01,"ARIZONA",NA
"252",83,2010-11-01,"ARIZONA",NA
"253",84,2010-10-01,"ARIZONA",2
"254",85,2010-09-01,"ARIZONA",1
"255",86,2011-04-01,"ARIZONA",2
"256",87,2011-08-01,"ARIZONA",6
"257",88,2011-12-01,"ARIZONA",1
"258",89,2011-02-01,"ARIZONA",NA
"259",90,2011-01-01,"ARIZONA",NA
"260",91,2011-07-01,"ARIZONA",9
"261",92,2011-06-01,"ARIZONA",3
"262",93,2011-03-01,"ARIZONA",NA
"263",94,2011-05-01,"ARIZONA",1
"264",95,2011-11-01,"ARIZONA",1
"265",96,2011-10-01,"ARIZONA",2
"266",97,2011-09-01,"ARIZONA",6
"267",98,2012-04-01,"ARIZONA",NA
"268",99,2012-08-01,"ARIZONA",8
"269",100,2012-12-01,"ARIZONA",NA
"270",101,2012-02-01,"ARIZONA",NA
"271",102,2012-01-01,"ARIZONA",NA
"272",103,2012-07-01,"ARIZONA",10
"273",104,2012-06-01,"ARIZONA",1
"274",105,2012-03-01,"ARIZONA",NA
"275",106,2012-05-01,"ARIZONA",NA
"276",107,2012-11-01,"ARIZONA",NA
"277",108,2012-10-01,"ARIZONA",NA
"278",109,2012-09-01,"ARIZONA",9
"279",110,2013-04-01,"ARIZONA",NA
"280",111,2013-08-01,"ARIZONA",5
"281",112,2013-12-01,"ARIZONA",NA
"282",113,2013-02-01,"ARIZONA",NA
"283",114,2013-01-01,"ARIZONA",NA
"284",115,2013-07-01,"ARIZONA",9
"285",116,2013-06-01,"ARIZONA",4
"286",117,2013-03-01,"ARIZONA",NA
"287",118,2013-05-01,"ARIZONA",NA
"288",119,2013-11-01,"ARIZONA",1
"289",120,2013-10-01,"ARIZONA",NA
"290",121,2013-09-01,"ARIZONA",4
"291",122,2014-04-01,"ARIZONA",NA
"292",123,2014-08-01,"ARIZONA",9
"293",124,2014-12-01,"ARIZONA",NA
"294",125,2014-02-01,"ARIZONA",1
"295",126,2014-01-01,"ARIZONA",NA
"296",127,2014-07-01,"ARIZONA",6
"297",128,2014-06-01,"ARIZONA",NA
"298",129,2014-03-01,"ARIZONA",4
"299",130,2014-05-01,"ARIZONA",NA
"300",131,2014-11-01,"ARIZONA",NA
"301",132,2014-10-01,"ARIZONA",1
"302",133,2014-09-01,"ARIZONA",7
"303",134,2015-04-01,"ARIZONA",NA
"304",135,2015-08-01,"ARIZONA",4
"305",136,2015-12-01,"ARIZONA",NA
"306",137,2015-02-01,"ARIZONA",1
"307",138,2015-01-01,"ARIZONA",NA
"308",139,2015-07-01,"ARIZONA",3
"309",140,2015-06-01,"ARIZONA",NA
"310",141,2015-03-01,"ARIZONA",1
"311",142,2015-05-01,"ARIZONA",NA
"312",143,2015-11-01,"ARIZONA",NA
"313",144,2015-10-01,"ARIZONA",5
"314",145,2015-09-01,"ARIZONA",3
"315",146,2016-04-01,"ARIZONA",NA
"316",147,2016-08-01,"ARIZONA",11
"317",148,2016-12-01,"ARIZONA",NA
"318",149,2016-02-01,"ARIZONA",NA
"319",150,2016-01-01,"ARIZONA",1
"320",151,2016-07-01,"ARIZONA",1
"321",152,2016-06-01,"ARIZONA",3
"322",153,2016-03-01,"ARIZONA",NA
"323",154,2016-05-01,"ARIZONA",NA
"324",155,2016-11-01,"ARIZONA",NA
"325",156,2016-10-01,"ARIZONA",1
"326",157,2016-09-01,"ARIZONA",1
"327",158,2017-04-01,"ARIZONA",NA
"328",159,2017-08-01,"ARIZONA",6
"329",160,2017-12-01,"ARIZONA",NA
"330",161,2017-02-01,"ARIZONA",NA
"331",162,2017-01-01,"ARIZONA",NA
"332",163,2017-07-01,"ARIZONA",8
"333",164,2017-06-01,"ARIZONA",NA
"334",165,2017-03-01,"ARIZONA",NA
"335",166,2017-05-01,"ARIZONA",NA
"336",167,2017-11-01,"ARIZONA",NA
"337",168,2017-10-01,"ARIZONA",NA
"338",169,2017-09-01,"ARIZONA",2
"339",1,2004-04-01,"ARKANSAS",1
"340",2,2004-08-01,"ARKANSAS",NA
"341",3,2004-12-01,"ARKANSAS",NA
"342",4,2004-02-01,"ARKANSAS",NA
"343",5,2004-01-01,"ARKANSAS",NA
"344",6,2004-07-01,"ARKANSAS",NA
"345",7,2004-06-01,"ARKANSAS",NA
"346",8,2004-03-01,"ARKANSAS",NA
"347",9,2004-05-01,"ARKANSAS",NA
"348",10,2004-11-01,"ARKANSAS",1
"349",11,2004-10-01,"ARKANSAS",NA
"350",12,2004-09-01,"ARKANSAS",NA
"351",13,2005-04-01,"ARKANSAS",1
"352",14,2005-08-01,"ARKANSAS",2
"353",15,2005-12-01,"ARKANSAS",1
"354",16,2005-02-01,"ARKANSAS",NA
"355",17,2005-01-01,"ARKANSAS",1
"356",18,2005-07-01,"ARKANSAS",1
"357",19,2005-06-01,"ARKANSAS",NA
"358",20,2005-03-01,"ARKANSAS",NA
"359",21,2005-05-01,"ARKANSAS",NA
"360",22,NA,"ARKANSAS",NA
"361",23,2005-11-01,"ARKANSAS",1
"362",24,2005-10-01,"ARKANSAS",NA
"363",25,2005-09-01,"ARKANSAS",5
"364",26,2006-04-01,"ARKANSAS",NA
"365",27,2006-08-01,"ARKANSAS",3
"366",28,2006-12-01,"ARKANSAS",NA
"367",29,2006-02-01,"ARKANSAS",1
"368",30,2006-01-01,"ARKANSAS",1
"369",31,2006-07-01,"ARKANSAS",3
"370",32,2006-06-01,"ARKANSAS",NA
"371",33,2006-03-01,"ARKANSAS",2
"372",34,2006-05-01,"ARKANSAS",2
"373",35,2006-11-01,"ARKANSAS",1
"374",36,2006-10-01,"ARKANSAS",NA
"375",37,2006-09-01,"ARKANSAS",2
"376",38,2007-04-01,"ARKANSAS",NA
"377",39,2007-08-01,"ARKANSAS",9
"378",40,2007-12-01,"ARKANSAS",NA
"379",41,2007-02-01,"ARKANSAS",NA
"380",42,2007-01-01,"ARKANSAS",5
"381",43,2007-07-01,"ARKANSAS",10
"382",44,2007-06-01,"ARKANSAS",NA
"383",45,2007-03-01,"ARKANSAS",1
"384",46,2007-05-01,"ARKANSAS",NA
"385",47,2007-11-01,"ARKANSAS",NA
"386",48,2007-10-01,"ARKANSAS",2
"387",49,2007-09-01,"ARKANSAS",5
"388",50,2008-04-01,"ARKANSAS",13
"389",51,2008-08-01,"ARKANSAS",1
"390",52,2008-12-01,"ARKANSAS",NA
"391",53,2008-02-01,"ARKANSAS",NA
"392",54,2008-01-01,"ARKANSAS",NA
"393",55,2008-07-01,"ARKANSAS",4
"394",56,2008-06-01,"ARKANSAS",3
"395",57,2008-03-01,"ARKANSAS",13
"396",58,2008-05-01,"ARKANSAS",2
"397",59,2008-11-01,"ARKANSAS",NA
"398",60,2008-10-01,"ARKANSAS",NA
"399",61,2008-09-01,"ARKANSAS",13
"400",62,2009-04-01,"ARKANSAS",1
"401",63,2009-08-01,"ARKANSAS",3
"402",64,2009-12-01,"ARKANSAS",8
"403",65,2009-02-01,"ARKANSAS",NA
"404",66,2009-01-01,"ARKANSAS",NA
"405",67,2009-07-01,"ARKANSAS",6
"406",68,2009-06-01,"ARKANSAS",3
"407",69,2009-03-01,"ARKANSAS",NA
"408",70,2009-05-01,"ARKANSAS",12
"409",71,2009-11-01,"ARKANSAS",NA
"410",72,2009-10-01,"ARKANSAS",21
"411",73,2009-09-01,"ARKANSAS",6
"412",74,2010-04-01,"ARKANSAS",1
"413",75,2010-08-01,"ARKANSAS",28
"414",76,2010-12-01,"ARKANSAS",6
"415",77,2010-02-01,"ARKANSAS",NA
"416",78,2010-01-01,"ARKANSAS",NA
"417",79,2010-07-01,"ARKANSAS",11
"418",80,2010-06-01,"ARKANSAS",5
"419",81,2010-03-01,"ARKANSAS",NA
"420",82,2010-05-01,"ARKANSAS",4
"421",83,2010-11-01,"ARKANSAS",11
"422",84,2010-10-01,"ARKANSAS",6
"423",85,2010-09-01,"ARKANSAS",6
"424",86,2011-04-01,"ARKANSAS",27
"425",87,2011-08-01,"ARKANSAS",12
"426",88,2011-12-01,"ARKANSAS",1
"427",89,2011-02-01,"ARKANSAS",6
"428",90,2011-01-01,"ARKANSAS",7
"429",91,2011-07-01,"ARKANSAS",5
"430",92,2011-06-01,"ARKANSAS",7
"431",93,2011-03-01,"ARKANSAS",5
"432",94,2011-05-01,"ARKANSAS",17
"433",95,2011-11-01,"ARKANSAS",7
"434",96,2011-10-01,"ARKANSAS",4
"435",97,2011-09-01,"ARKANSAS",6
"436",98,2012-04-01,"ARKANSAS",NA
"437",99,2012-08-01,"ARKANSAS",21
"438",100,2012-12-01,"ARKANSAS",7
"439",101,2012-02-01,"ARKANSAS",2
"440",102,2012-01-01,"ARKANSAS",1
"441",103,2012-07-01,"ARKANSAS",17
"442",104,2012-06-01,"ARKANSAS",10
"443",105,2012-03-01,"ARKANSAS",5
"444",106,2012-05-01,"ARKANSAS",1
"445",107,2012-11-01,"ARKANSAS",6
"446",108,2012-10-01,"ARKANSAS",6
"447",109,2012-09-01,"ARKANSAS",18
"448",110,2013-04-01,"ARKANSAS",2
"449",111,2013-08-01,"ARKANSAS",5
"450",112,2013-12-01,"ARKANSAS",4
"451",113,2013-02-01,"ARKANSAS",3
"452",114,2013-01-01,"ARKANSAS",7
"453",115,2013-07-01,"ARKANSAS",4
"454",116,2013-06-01,"ARKANSAS",3
"455",117,2013-03-01,"ARKANSAS",3
"456",118,2013-05-01,"ARKANSAS",5
"457",119,2013-11-01,"ARKANSAS",NA
"458",120,2013-10-01,"ARKANSAS",3
"459",121,2013-09-01,"ARKANSAS",2
"460",122,2014-04-01,"ARKANSAS",2
"461",123,2014-08-01,"ARKANSAS",1
"462",124,2014-12-01,"ARKANSAS",NA
"463",125,2014-02-01,"ARKANSAS",NA
"464",126,2014-01-01,"ARKANSAS",1
"465",127,2014-07-01,"ARKANSAS",2
"466",128,2014-06-01,"ARKANSAS",2
"467",129,2014-03-01,"ARKANSAS",NA
"468",130,2014-05-01,"ARKANSAS",1
"469",131,2014-11-01,"ARKANSAS",NA
"470",132,2014-10-01,"ARKANSAS",NA
"471",133,2014-09-01,"ARKANSAS",NA
"472",134,2015-04-01,"ARKANSAS",4
"473",135,2015-08-01,"ARKANSAS",2
"474",136,2015-12-01,"ARKANSAS",7
"475",137,2015-02-01,"ARKANSAS",NA
"476",138,2015-01-01,"ARKANSAS",NA
"477",139,2015-07-01,"ARKANSAS",8
"478",140,2015-06-01,"ARKANSAS",7
"479",141,2015-03-01,"ARKANSAS",4
"480",142,2015-05-01,"ARKANSAS",14
"481",143,2015-11-01,"ARKANSAS",7
"482",144,2015-10-01,"ARKANSAS",1
"483",145,2015-09-01,"ARKANSAS",1
"484",146,2016-04-01,"ARKANSAS",5
"485",147,2016-08-01,"ARKANSAS",7
"486",148,2016-12-01,"ARKANSAS",1
"487",149,2016-02-01,"ARKANSAS",NA
"488",150,2016-01-01,"ARKANSAS",1
"489",151,2016-07-01,"ARKANSAS",5
"490",152,2016-06-01,"ARKANSAS",6
"491",153,2016-03-01,"ARKANSAS",11
"492",154,2016-05-01,"ARKANSAS",4
"493",155,2016-11-01,"ARKANSAS",3
"494",156,2016-10-01,"ARKANSAS",NA
"495",157,2016-09-01,"ARKANSAS",NA
"496",158,2017-04-01,"ARKANSAS",14
"497",159,2017-08-01,"ARKANSAS",4
"498",160,2017-12-01,"ARKANSAS",5
"499",161,2017-02-01,"ARKANSAS",1
"500",162,2017-01-01,"ARKANSAS",1
"501",163,2017-07-01,"ARKANSAS",14
"502",164,2017-06-01,"ARKANSAS",3
"503",165,2017-03-01,"ARKANSAS",1
"504",166,2017-05-01,"ARKANSAS",6
"505",167,2017-11-01,"ARKANSAS",7
"506",168,2017-10-01,"ARKANSAS",NA
"507",169,2017-09-01,"ARKANSAS",NA
"508",1,2004-04-01,"CALIFORNIA",NA
"509",2,2004-08-01,"CALIFORNIA",1
"510",3,2004-12-01,"CALIFORNIA",NA
"511",4,2004-02-01,"CALIFORNIA",NA
"512",5,2004-01-01,"CALIFORNIA",NA
"513",6,2004-07-01,"CALIFORNIA",NA
"514",7,2004-06-01,"CALIFORNIA",NA
"515",8,2004-03-01,"CALIFORNIA",NA
"516",9,2004-05-01,"CALIFORNIA",NA
"517",10,2004-11-01,"CALIFORNIA",NA
"518",11,2004-10-01,"CALIFORNIA",2
"519",12,2004-09-01,"CALIFORNIA",NA
"520",13,2005-04-01,"CALIFORNIA",NA
"521",14,2005-08-01,"CALIFORNIA",5
"522",15,2005-12-01,"CALIFORNIA",2
"523",16,2005-02-01,"CALIFORNIA",7
"524",17,2005-01-01,"CALIFORNIA",14
"525",18,2005-07-01,"CALIFORNIA",9
"526",19,2005-06-01,"CALIFORNIA",1
"527",20,2005-03-01,"CALIFORNIA",2
"528",21,2005-05-01,"CALIFORNIA",1
"529",22,NA,"CALIFORNIA",NA
"530",23,2005-11-01,"CALIFORNIA",NA
"531",24,2005-10-01,"CALIFORNIA",1
"532",25,2005-09-01,"CALIFORNIA",NA
"533",26,2006-04-01,"CALIFORNIA",3
"534",27,2006-08-01,"CALIFORNIA",NA
"535",28,2006-12-01,"CALIFORNIA",NA
"536",29,2006-02-01,"CALIFORNIA",NA
"537",30,2006-01-01,"CALIFORNIA",5
"538",31,2006-07-01,"CALIFORNIA",2
"539",32,2006-06-01,"CALIFORNIA",NA
"540",33,2006-03-01,"CALIFORNIA",NA
"541",34,2006-05-01,"CALIFORNIA",2
"542",35,2006-11-01,"CALIFORNIA",NA
"543",36,2006-10-01,"CALIFORNIA",1
"544",37,2006-09-01,"CALIFORNIA",1
"545",38,2007-04-01,"CALIFORNIA",NA
"546",39,2007-08-01,"CALIFORNIA",3
"547",40,2007-12-01,"CALIFORNIA",1
"548",41,2007-02-01,"CALIFORNIA",NA
"549",42,2007-01-01,"CALIFORNIA",NA
"550",43,2007-07-01,"CALIFORNIA",5
"551",44,2007-06-01,"CALIFORNIA",NA
"552",45,2007-03-01,"CALIFORNIA",1
"553",46,2007-05-01,"CALIFORNIA",NA
"554",47,2007-11-01,"CALIFORNIA",3
"555",48,2007-10-01,"CALIFORNIA",4
"556",49,2007-09-01,"CALIFORNIA",8
"557",50,2008-04-01,"CALIFORNIA",1
"558",51,2008-08-01,"CALIFORNIA",NA
"559",52,2008-12-01,"CALIFORNIA",1
"560",53,2008-02-01,"CALIFORNIA",NA
"561",54,2008-01-01,"CALIFORNIA",6
"562",55,2008-07-01,"CALIFORNIA",9
"563",56,2008-06-01,"CALIFORNIA",6
"564",57,2008-03-01,"CALIFORNIA",NA
"565",58,2008-05-01,"CALIFORNIA",3
"566",59,2008-11-01,"CALIFORNIA",4
"567",60,2008-10-01,"CALIFORNIA",2
"568",61,2008-09-01,"CALIFORNIA",2
"569",62,2009-04-01,"CALIFORNIA",5
"570",63,2009-08-01,"CALIFORNIA",2
"571",64,2009-12-01,"CALIFORNIA",4
"572",65,2009-02-01,"CALIFORNIA",1
"573",66,2009-01-01,"CALIFORNIA",2
"574",67,2009-07-01,"CALIFORNIA",1
"575",68,2009-06-01,"CALIFORNIA",2
"576",69,2009-03-01,"CALIFORNIA",3
"577",70,2009-05-01,"CALIFORNIA",6
"578",71,2009-11-01,"CALIFORNIA",1
"579",72,2009-10-01,"CALIFORNIA",5
"580",73,2009-09-01,"CALIFORNIA",2
"581",74,2010-04-01,"CALIFORNIA",1
"582",75,2010-08-01,"CALIFORNIA",1
"583",76,2010-12-01,"CALIFORNIA",6
"584",77,2010-02-01,"CALIFORNIA",3
"585",78,2010-01-01,"CALIFORNIA",7
"586",79,2010-07-01,"CALIFORNIA",NA
"587",80,2010-06-01,"CALIFORNIA",NA
"588",81,2010-03-01,"CALIFORNIA",NA
"589",82,2010-05-01,"CALIFORNIA",NA
"590",83,2010-11-01,"CALIFORNIA",NA
"591",84,2010-10-01,"CALIFORNIA",2
"592",85,2010-09-01,"CALIFORNIA",NA
"593",86,2011-04-01,"CALIFORNIA",NA
"594",87,2011-08-01,"CALIFORNIA",NA
"595",88,2011-12-01,"CALIFORNIA",NA
"596",89,2011-02-01,"CALIFORNIA",1
"597",90,2011-01-01,"CALIFORNIA",1
"598",91,2011-07-01,"CALIFORNIA",3
"599",92,2011-06-01,"CALIFORNIA",1
"600",93,2011-03-01,"CALIFORNIA",4
"601",94,2011-05-01,"CALIFORNIA",NA
"602",95,2011-11-01,"CALIFORNIA",NA
"603",96,2011-10-01,"CALIFORNIA",NA
"604",97,2011-09-01,"CALIFORNIA",2
"605",98,2012-04-01,"CALIFORNIA",NA
"606",99,2012-08-01,"CALIFORNIA",4
"607",100,2012-12-01,"CALIFORNIA",8
